IncidentID,DateKey,EmployeeID,EquipmentID,IncidentType,Severity,Area,LostTimeHours
1,20211128,1377,254,Medical Treatment Case,Medium,Control Room,294
2,20210403,1838,243,Spill,Medium,Admin Block,216
3,20220215,1824,107,Process Leak,High,Admin Block,309
4,20190226,521,303,Fire,Critical,Control Room,108
5,20221225,2973,119,Fire,Critical,Process Area B,210
6,20210317,720,163,First Aid Case,Low,Utilities Area,0
7,20240624,1632,190,Fire,Critical,Process Area A,214
8,20230210,2046,122,Spill,Medium,Process Area B,182
9,20190111,485,81,Environmental Release,High,Workshop,303
10,20240212,2415,183,Lost Time Injury,High,Marine Jetty,325
11,20210731,1174,267,First Aid Case,Low,Workshop,0
12,20200928,720,81,Medical Treatment Case,Medium,Flare Area,352
13,20241229,1927,25,Environmental Release,High,Marine Jetty,99
14,20211025,2378,131,Fire,Critical,Flare Area,274
15,20191009,2734,178,Process Leak,High,Control Room,247
16,20200428,1530,191,Environmental Release,High,Control Room,218
17,20211231,415,45,Lost Time Injury,High,Flare Area,131
18,20220531,2805,262,Near Miss,Low,Process Area A,0
19,20220307,2222,284,Equipment Damage,Medium,Marine Jetty,474
20,20220506,1701,321,Fire,Critical,Marine Jetty,127
21,20200823,2090,76,Lost Time Injury,High,Admin Block,432
22,20190411,2790,297,Medical Treatment Case,Medium,Process Area A,271
23,20200907,1396,171,Equipment Damage,Medium,Utilities Area,254
24,20210219,413,173,Equipment Damage,Medium,Process Area A,386
25,20200908,2725,163,Contractor Incident,Medium,Process Area A,118
26,20211023,1167,245,Environmental Release,High,Workshop,440
27,20200416,1507,93,First Aid Case,Low,Control Room,0
28,20231120,1438,289,Near Miss,Low,Admin Block,0
29,20240809,253,305,Fire,Critical,Process Area B,68
30,20240602,1615,291,Spill,Medium,Workshop,284
31,20190201,470,145,Medical Treatment Case,Medium,Admin Block,192
32,20190115,2697,164,Fire,Critical,Process Area A,312
33,20240122,1528,29,Contractor Incident,Medium,Process Area A,406
34,20231229,787,93,Lost Time Injury,High,Process Area A,135
35,20240813,1258,272,Contractor Incident,Medium,Flare Area,135
36,20200813,919,264,Environmental Release,High,Utilities Area,191
37,20240806,2161,250,Spill,Medium,Process Area B,324
38,20190722,145,233,Medical Treatment Case,Medium,Admin Block,211
39,20220201,955,297,Environmental Release,High,Workshop,337
40,20210119,1297,150,Environmental Release,High,Storage Area,33
41,20210325,2639,323,Fire,Critical,Admin Block,274
42,20210508,1772,312,First Aid Case,Low,Flare Area,0
43,20220518,2428,67,Fire,Critical,Flare Area,32
44,20210812,927,50,First Aid Case,Low,Storage Area,0
45,20200122,103,210,First Aid Case,Low,Process Area A,0
46,20190916,2284,285,Fire,Critical,Process Area B,135
47,20240423,2364,290,Near Miss,Low,Admin Block,0
48,20210513,1384,276,Contractor Incident,Medium,Process Area B,186
49,20220514,997,247,Spill,Medium,Flare Area,400
50,20231014,655,168,Near Miss,Low,Utilities Area,0
51,20230701,84,289,Spill,Medium,Flare Area,427
52,20240417,1243,272,First Aid Case,Low,Storage Area,0
53,20240927,2744,96,Environmental Release,High,Utilities Area,469
54,20231022,2641,231,Lost Time Injury,High,Admin Block,120
55,20200715,55,195,Near Miss,Low,Control Room,0
56,20230114,1774,17,Lost Time Injury,High,Workshop,2
57,20231014,1523,283,Fire,Critical,Flare Area,34
58,20220608,810,311,Contractor Incident,Medium,Process Area B,43
59,20190924,375,183,Spill,Medium,Admin Block,270
60,20200903,798,52,Fire,Critical,Storage Area,438
61,20221019,321,268,Environmental Release,High,Workshop,356
62,20191103,500,72,Spill,Medium,Process Area A,157
63,20190324,1094,93,Lost Time Injury,High,Admin Block,471
64,20190514,2734,289,Lost Time Injury,High,Flare Area,340
65,20240526,863,270,Fire,Critical,Storage Area,443
66,20241227,2147,85,Fire,Critical,Workshop,455
67,20190531,2936,86,Medical Treatment Case,Medium,Process Area B,473
68,20230901,2146,48,Near Miss,Low,Flare Area,0
69,20200508,149,100,Near Miss,Low,Utilities Area,0
70,20210526,2919,278,Equipment Damage,Medium,Utilities Area,96
71,20201025,1510,221,Environmental Release,High,Control Room,36
72,20240123,2209,48,Process Leak,High,Process Area A,465
73,20190414,2118,52,Fire,Critical,Process Area A,424
74,20241203,2792,198,Spill,Medium,Storage Area,65
75,20220718,1262,157,Contractor Incident,Medium,Marine Jetty,420
76,20190826,2708,313,Contractor Incident,Medium,Process Area B,111
77,20210813,2219,174,Medical Treatment Case,Medium,Workshop,472
78,20210301,629,188,Contractor Incident,Medium,Process Area B,440
79,20190701,859,48,Medical Treatment Case,Medium,Flare Area,472
80,20210805,2991,120,Equipment Damage,Medium,Workshop,271
81,20221231,1981,292,Equipment Damage,Medium,Storage Area,229
